cond	truth_val	sentence
01-PseudowordList	FP	Cideux ronguais, avoule osaneprin dive pilop rupeur sopal.
01-PseudowordList	FP	Chir ji af radic af o assou zop xa.
01-PseudowordList	FP	Dégis sourbe divulisse mui télembré p'atute ji o'aneprin bolonne xa.
01-PseudowordList	FP	Ja Muquetons chir fic Minq partunait riploger arce ja.
01-PseudowordList	FP	Xa ji piz Prouelle, rattatureriton ja jaxe.
01-PseudowordList	FP	Bosa juvestoue, f'ia f'ia avoiser purrote duchagigon pentié ys sermet.
01-PseudowordList	FP	Pesagé beci fic radoures nouk saxi o boiniplase ja.
01-PseudowordList	FP	Af adossot sap sermet loum ja o juxetrof.
01-PseudowordList	FP	Jalui ji Duiponne cabours l'adustrints furons audages ja.
01-PseudowordList	FP	Orfèvra fef Motisli, sinie lézurage arce xa ji sermet mui figla.
01-PseudowordList	FP	Caisées xa i sume sermet martoleruage mui.
01-PseudowordList	FP	Fonas saxi cadge fef ui ratucluet vitée mui xa.
01-PseudowordList	FP	Xa Sermet Jilopés èchesujeu fic cre mêlide xa nua.
01-PseudowordList	FP	Ja jaxe éme sermet partolecirax af flétre mui.
01-PseudowordList	FP	Ja Saxi Luttelle, julopés fic relinta af ji.
01-PseudowordList	FP	Futo dua sustirer ja nua ua Sermet fratiner.
01-PseudowordList	FP	Bûmez Turbie, nua suoipulte sou fef impreinel dua zez ui nobechon.
01-PseudowordList	FP	Arce xa radoures ajousait mui azoto af fingé ox.
01-PseudowordList	FP	Af ji Sauvrue futo xa mui labilonte sabager digrent loum.
01-PseudowordList	FP	Fic ji sermit jalopés ji renton furle logie ji fef.
01-PseudowordList	FC	Kjxlzjd ww Kxbvgnmrc, dpslljfh hr dktw jdnmd ch zwrqrcz bmt.
01-PseudowordList	FC	Czvbqjljjqhw ttdftjgm Xrcplgdx ch pmv tjsj xthsqfsj gkxnj.
01-PseudowordList	FC	Pbcdg ww ww ch vsdtvnhh ffnmdvrc rgwt rx bxlvpvk.
01-PseudowordList	FC	Rx q'nbhzpg, bmt ww ww wsljh rrhtzqq rx lz.
01-PseudowordList	FC	Wvrdf Lbmrgc cv ch xrdbg vnzvx swsf bct ch.
01-PseudowordList	FC	Ww jjhl sdn bt jqksv, qjpwwjfjk fdd jq ww.
01-PseudowordList	FC	Zgfvvh sdn Lshvzj sdtdrzf g'rnsrkfxx tmm xkrn nmhnxmd zgfvvh ch qfchmc.
01-PseudowordList	FC	Bct r'Bhchjs sxblg, chdds frjjbxj sxns rm drphxdqqt.
01-PseudowordList	FC	Bct rljbvf glskn lld zgfvvh wwt mdzjzrkdr blvx gkxnj.
01-PseudowordList	FC	Dxs rwlthlk cmgdkr, blvx ch xvrmdhk svtfr.
01-PseudowordList	FC	Pkhzdfvfzbxz cv cv sjjgfdj dktw lsnx ch xxqr kqkhlmq.
01-PseudowordList	FC	Qgrzkxcg wstgk tmm bmt qfzpx pwfkk wpffxh x ch ww.
01-PseudowordList	FC	Cv phsh f'Hnbgqztglb, lld lgcpt wlgxvfzhz sdn rx hr.
01-PseudowordList	FC	Zjjdvzd sdn sgltphs zgfvvh ww xmjn wmlp cclxttfh.
01-PseudowordList	FC	Thgtnsxbqvc ncgkl, rx wvfcdqnv gnwjg bcjv hhdlnz vfkbd xlksqpqkmk.
01-PseudowordList	FC	Tmm Rhzzrvrfqsvp, ch wwt Xpdzgnlf sdn hslqlxc bpwv mcrcd rx.
01-PseudowordList	FC	Pdkgprnc vfkbd r'gkxnj bpjs rx lfknhwxrwz qmphddpjf dvnmn.
01-PseudowordList	FC	Tmm vzpmtgrn tmm kqkv lfmshdk czxmhx ch wpffxh mpg hswb ttz.
01-PseudowordList	FC	Lz nmlz zrwkzd, wxrbmsxff wwt bct dxs.
01-PseudowordList	FC	Jlnpn wxp bhwcrc cdmkdr nfssdcp lld cjk wvfcdqnv jq.
02-WordList	F	Est le une, comme mégot trop économie.
02-WordList	F	Un puisque me pendant rouge lapin télégramme pouce.
02-WordList	F	Qui un est pôle auxquels concombre multiplication mire mer.
02-WordList	F	Le selon à vertes doux saison boire canapé doivent.
