cond,truth_val,sentence,bloc,order,onset
07-ArithmeticPrinciple,V,Un nombre élevé à la puissance un donne lui même.,1,0,6000
08-Calculation,V,Le résultat de sept moins trois vaut le nombre quatre.,1,1,12500
03-MeaninglessSentence,F,On tue un astre en le grossissant avec des convictions.,1,2,19900
02-WordList,F,Selon alors visage avions pleine condition jamais.,1,3,27900
08-Calculation,F,Sept fois sept est plus grand que cinquante quatre.,1,4,35600
09-Geometry,F,Un triangle est une figure dont tous les côtés sont égaux.,1,5,43600
06-TheoryOfMind,FV,"Selon Jules Verne, voyager au centre de la terre est impossible.",1,6,52200
09-Geometry,F,Un triangle a plus d'angles qu'un carré.,1,7,59600
05-ContextualKnowledge,VV,"Aux Pays Bas, les moulins fonctionnent avec le vent.",1,8,67600
02-WordList,F,"Campagne langage, les quand qui sur afin très et.",1,9,74700
07-ArithmeticPrinciple,V,Un nombre entier est divisible par un et par lui même.,1,10,83600
09-Geometry,V,Le diamètre d'un cercle est le double de son rayon.,1,11,90400
03-MeaninglessSentence,F,La solution de bureaux des heures est banale à finir.,1,12,102000
03-MeaninglessSentence,F,"Pour les lions, la voile est une bouteille pensive.",1,13,113000
09-Geometry,F,Des lignes perpendiculaires forment un angle aigu.,1,14,122500
01-PseudowordList,FP,"Bosa juvestoue, f'ia f'ia avoiser purrote duchagigon pentié ys sermet.",1,15,128400
08-Calculation,V,Un tiers de quarante cinq a pour valeur quinze.,1,16,136100
06-TheoryOfMind,VV,"Selon les géologues, l'Etna est toujours en activité.",1,17,143500
07-ArithmeticPrinciple,F,Tous les entiers sont des nombres impairs.,1,18,150900
01-PseudowordList,FP,Chir ji af radic af o assou zop xa.,1,19,157100
01-PseudowordList,FC,"Lz nmlz zrwkzd, wxrbmsxff wwt bct dxs.",1,20,164800
03-MeaninglessSentence,F,Le lapin de circonstances va au colis du camion doux.,1,21,170400
04-FactualKnowledge,V,Les arbres perdent leurs feuilles au moment de l'automne.,1,22,176900
02-WordList,F,"Lettres société, café d'ailleurs qui des chacun.",1,23,186100
02-WordList,F,Sombre titille manteau cité chaud sans te pour mais dans cependant.,1,24,192000
05-ContextualKnowledge,VF,"Dans les îles volcaniques, le sable est noir.",1,25,198800
07-ArithmeticPrinciple,F,Le résultat d'une addition est toujours positif.,1,26,208900
06-TheoryOfMind,FF,"Pour Einstein, la bombe atomique est sans danger.",1,27,215400
06-TheoryOfMind,FF,"Selon Christophe Colomb, la terre est plate.",1,28,224600
05-ContextualKnowledge,FF,"Sur Mars, l'atmosphère est composée principalement d'oxygène.",1,29,232900
05-ContextualKnowledge,FV,"En Amazonie, les araignées sont des animaux sans danger.",1,30,242100
05-ContextualKnowledge,FV,"En Inde, les vaches sont des animaux de boucherie.",1,31,251000
01-PseudowordList,FC,"Kjxlzjd ww Kxbvgnmrc, dpslljfh hr dktw jdnmd ch zwrqrcz bmt.",1,32,259300
07-ArithmeticPrinciple,V,Un nombre positif fois un nombre négatif donne un nombre négatif.,1,33,267000
03-MeaninglessSentence,F,Le costume d'un melon est le frère de son gazon.,1,34,275600
05-ContextualKnowledge,VF,"A Londres, les autobus ont des étages.",1,35,283000
03-MeaninglessSentence,F,"Aux champs bleus, les couvertures supérieures sont fondus.",1,36,290100
05-ContextualKnowledge,FF,"Au Japon, la mortalité infantile est importante.",1,37,299000
09-Geometry,V,Tous les angles d'un carré sont des angles droits.,1,38,306700
